,식당명,GRID_X,GRID_Y
725,166pub,393778,527520
726,고즈넉이,395057,524296
727,강원한우곱창,393740,527529
728,가마솥소머리해장국설렁탕,390322,507731
729,공차 원주단구점,395663,525422
730,바다회명가 해원,398859,524985
731,역전할머니맥주 무실점,393868,526155
732,백스비어 단계점,394097,527082
733,영해네분식,383808,522295
734,다이꼬지 무실점,393892,525790
735,해가온,393687,527305
736,광어한마리 단계점,393341,527847
737,한성장칼국수,397300,525800
738,옛날통닭무실점,393377,526012
739,준이네순대국감자탕,385170,524711
740,파주닭국수 원주혁신점,399203,525087
741,몽까이 원주무실점,394124,525573
742,한우축제,394052,524949
743,다기랑,394005,525877
744,알미커피,385507,534635
745,요거프레소 원주향교점,395614,526144
746,오션킹,393735,526211
747,원주그집,394968,528612
748,웨이클리,407999,515492
749,에이치,395570,527745
750,불향기 흥업점,392995,522347
751,작은라떼,395152,524294
752,참숯 숯불구이 수갈비,396514,524368
753,출렁다리식당,385389,529159
754,카페 하임,395603,531551
755,썬다방 중앙점,395841,527466
756,오늘통닭 원주행구점,397649,526605
757,60계 치킨 원주기업도시점,389364,530175
758,동대문엽기떡볶이 원주혁신도시점,399142,524895
759,남가네설악추어탕 원주점,398931,542685
760,속편한 흰민들레 만두,392995,522347
761,고기듬뿍대왕비빔밥,394186,527537
762,이삭토스트 원주법원점,393863,525762
763,매일순대국감자탕,394483,529767
764,7375와글,395575,526689
765,속초코다리,395880,525438
766,쉐프스카페원주점,398678,524969
767,브레드테이블,395843,526383
768,진칼국수,398188,523446
769,강솔마을,396048,522464
770,죠샌드위치 원주무실동점,393320,526609
771,마라몽 원주점,393863,525762
772,교촌치킨 명륜점,395457,525520
773,제주흑돈,394174,527375
774,파스타부오노 중앙점,395569,527559
775,토정추어탕,398186,531448
776,외가집 원주점,394027,524981
777,새마을식당 원주혁신도시점,398448,524872
778,참치혼네,398886,525016
779,육쌈냉면,395583,525405
780,어반루프탑,398049,526677
781,고단한식뷔페,395639,532848
782,일식당,398728,524986
783,할머니밥집,394241,527537
784,퀴즈노스 원주무실법원점,394009,525761
785,클래식,392842,527969
786,횡성한우곱창알천,398496,524799
787,맛있는안주가있는술집,396495,524285
788,하루엔소쿠 원주시청점,393426,526360
789,메가엠지씨커피 원주무실점,393966,525798
790,볼타커피,396178,523989
791,쿠우쿠우 원주혁신점,399351,525006
792,화닭발,395157,525226
793,루즈엔드,393447,525578
794,랜덤커피,397034,526232
795,유2버 호프,393915,525719
796,수제도시락마마수니,394165,525496
797,복도야지,394664,526925
798,이든,393834,525663
799,카페띠아모 원주혁신점,398317,524706
800,조판,393762,527320
801,파이니크,395693,527560
802,꽃비,393825,526139
803,해바라기밥집,393618,526368
804,카페위로부터,395644,524077
805,카페 투어티,395910,527335
806,한성,393668,526304
807,모심곤드레장칼국수,397976,523384
808,페리카나 단계점,394645,528277
809,갈집,388969,530168
810,가마치통닭 기업도시점,389264,530193
811,선참치,396493,524777
812,참치 운,395625,527336
813,배달삼겹 돼지되지 원주1호점,394998,526734
814,청년피자 원주점,394929,524957
815,카페 던오뷰,393977,527506
816,오후의 커피,397717,526095
817,오가네장터국밥,396491,525332
818,카페 킴스,400330,526804
819,보쌈애족발,397649,526605
820,갈매기살이맛있는집,395881,525418
821,PUB372,394039,524967
